"Sex" "Length" "Diameter" "Height" "Whole weight" "Shucked weight" "Viscera weight" "Shell weight" "Rings"
"3357" "I" 0.39 0.3 0.1 0.3085 0.1385 0.0735 0.085 6
"2817" "I" 0.325 0.24 0.075 0.1525 0.072 0.0645 0.043 6
"3913" "I" 0.52 0.405 0.14 0.6765 0.2865 0.146 0.205 15
"209" "F" 0.525 0.415 0.17 0.8325 0.2755 0.1685 0.31 13
"1162" "M" 0.61 0.485 0.16 1.0145 0.5315 0.212 0.2415 8
"2020" "I" 0.51 0.455 0.135 0.6855 0.2875 0.154 0.2035 9
"550" "I" 0.555 0.425 0.18 0.875 0.3695 0.2005 0.255 11
"695" "I" 0.165 0.11 0.02 0.019 0.0065 0.0025 0.005 4
"408" "M" 0.59 0.485 0.12 0.911 0.39 0.182 0.29 16
"430" "F" 0.575 0.45 0.17 1.0475 0.3775 0.1705 0.385 18
"2937" "M" 0.625 0.495 0.175 1.2075 0.531 0.281 0.3525 11
"3477" "I" 0.4 0.29 0.1 0.258 0.104 0.059 0.0815 7
"2698" "M" 0.66 0.515 0.165 1.4465 0.694 0.298 0.3755 10
"195" "F" 0.51 0.4 0.14 0.8145 0.459 0.1965 0.195 10
"3940" "M" 0.555 0.42 0.145 0.8695 0.3075 0.2575 0.25 14
"1041" "M" 0.67 0.525 0.165 1.6085 0.682 0.3145 0.4005 11
"3302" "F" 0.66 0.525 0.19 1.67 0.6525 0.4875 0.49 11
"4001" "I" 0.455 0.35 0.135 0.5365 0.2855 0.0855 0.1325 7
"537" "I" 0.52 0.405 0.14 0.5775 0.2 0.145 0.179 11
"1714" "M" 0.645 0.5 0.175 1.3375 0.554 0.308 0.415 10
"2770" "I" 0.565 0.43 0.15 0.8215 0.332 0.1685 0.29 11
"3707" "F" 0.675 0.535 0.185 1.5575 0.7035 0.402 0.4 11
"3971" "I" 0.385 0.285 0.09 0.248 0.0935 0.066 0.07 6
"1052" "F" 0.735 0.6 0.22 2.555 1.1335 0.44 0.6 11
"1703" "F" 0.635 0.49 0.17 1.2615 0.5385 0.2665 0.38 9
"1441" "I" 0.405 0.29 0.09 0.2825 0.112 0.075 0.0815 7
"599" "I" 0.605 0.495 0.145 1.054 0.369 0.2255 0.36 12
"2514" "F" 0.465 0.35 0.135 0.6265 0.259 0.1445 0.175 8
"543" "M" 0.42 0.325 0.115 0.2885 0.1 0.057 0.1135 15
"253" "F" 0.595 0.455 0.155 1.0605 0.5135 0.2165 0.3 12
"1001" "F" 0.595 0.45 0.15 1.114 0.5865 0.2205 0.25 11
"262" "F" 0.57 0.44 0.125 0.865 0.3675 0.1725 0.27 12
"3457" "F" 0.61 0.48 0.16 1.234 0.598 0.238 0.315 12
"4035" "M" 0.51 0.405 0.125 0.6925 0.327 0.155 0.1805 7
"309" "M" 0.55 0.41 0.125 0.7605 0.2505 0.1635 0.195 14
"3348" "M" 0.415 0.32 0.1 0.3005 0.1215 0.0575 0.104 11
"2871" "I" 0.37 0.27 0.09 0.1855 0.07 0.0425 0.065 7
"1311" "I" 0.545 0.405 0.135 0.5945 0.27 0.1185 0.185 8
